From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,993.778,0,10000,1.95567,3.30943,2.32994,993.778,2315.44484
0,993.973,0,10000,1.96734,3.33973,2.33048,993.973,2316.43365
0,994.233,0,10000,1.95775,3.30187,2.3305,994.233,2317.06364
0,994.412,0,10000,1.97187,3.32389,2.33055,994.412,2317.5224
0,994.569,0,10000,1.95839,3.37619,2.33099,994.569,2318.32554
0,993.8,0,10000,1.96769,3.46609,2.33133,993.8,2316.87342
0,993.968,0,10000,1.95656,3.35981,2.33059,993.968,2316.53657
0,994.096,0,10000,1.96816,3.42428,2.33081,994.096,2317.04703
0,993.944,0,10000,1.96675,3.3408,2.33083,993.944,2316.71187
0,994.363,0,10000,1.9578,3.43436,2.33103,994.363,2317.89235
