From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1372.248,0,50000,2.32238,3.63967,2.74634,1372.248,3768.65845
0,1367.635,0,50000,2.37507,3.77199,2.74674,1367.635,3756.53815
0,1367.016,0,50000,2.40294,3.6663,2.74524,1367.016,3752.78913
0,1369.894,0,50000,2.39759,3.6643,2.74395,1369.894,3758.92734
0,1355.913,0,50000,2.31659,3.80217,2.74914,1355.913,3727.59581
0,1361.147,0,50000,2.31957,3.65096,2.74802,1361.147,3740.46308
0,1365.98,0,50000,2.39436,3.59805,2.74474,1365.98,3749.25437
0,1367.181,0,50000,2.31749,3.68649,2.74413,1367.181,3751.72126
0,1369.927,0,50000,2.31585,3.65995,2.7432,1369.927,3757.97784
0,1372.019,0,50000,2.31598,3.65739,2.74533,1372.019,3766.65083
