From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1147.232,0,50000,2.18591,3.97438,2.53919,1147.232,2913.04072
0,1146.978,0,50000,2.18417,4.11326,2.53935,1146.978,2912.57307
0,1147.239,0,50000,2.18577,3.93732,2.53923,1147.239,2913.10219
0,1147.815,0,50000,2.18408,4.03969,2.53652,1147.815,2911.45015
0,1147.334,0,50000,2.19341,4.03901,2.53506,1147.334,2908.56509
0,1148.046,0,50000,2.18174,3.96671,2.537,1148.046,2912.59509
0,1148.303,0,50000,2.1831,3.89387,2.53552,1148.303,2911.54312
0,1147.263,0,50000,2.1889,3.98272,2.53548,1147.263,2908.85962
0,1147.158,0,50000,2.18532,3.97584,2.53419,1147.158,2907.11885
0,1148.116,0,50000,2.1823,3.95874,2.53523,1148.116,2910.73948
