From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,1264.366,0,50000,2.07166,3.79337,2.4151,1264.366,3053.57394
0,1264.851,0,50000,2.06973,3.79735,2.41519,1264.851,3054.85277
0,1264.288,0,50000,2.07016,3.76985,2.41503,1264.288,3053.29895
0,1264.753,0,50000,2.06966,3.78212,2.41496,1264.753,3054.32589
0,1264.103,0,50000,2.07031,3.63557,2.41468,1264.103,3052.40835
0,1264.16,0,50000,2.0698,3.79391,2.41471,1264.16,3052.57424
0,1263.865,0,50000,2.06937,3.77086,2.41461,1263.865,3051.7403
0,1263.638,0,50000,2.0704,3.73093,2.41427,1263.638,3050.76275
0,1264.987,0,50000,2.07019,3.71864,2.41468,1264.987,3054.54459
0,1264.419,0,50000,2.06948,3.85748,2.41465,1264.419,3053.12951
