From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,284.077,0,50000,1.93635,3.56091,2.61007,284.077,741.46033
0,278.949,0,50000,1.93837,3.59971,2.62868,278.949,733.26662
0,280.34,0,50000,1.93144,3.3992,2.62528,280.34,735.9719
0,278.779,0,50000,1.94782,3.46423,2.63359,278.779,734.19048
0,283.291,0,50000,1.93707,3.51229,2.61613,283.291,741.12745
0,271.348,0,50000,1.93507,3.44284,2.63389,271.348,714.70108
0,278.045,0,50000,1.91902,3.56425,2.63669,278.045,733.11794
0,279.729,0,50000,1.93969,3.62191,2.63403,279.729,736.81371
0,279.376,0,50000,1.7183,3.44279,2.62945,279.376,734.60617
0,280.856,0,50000,1.93933,3.47232,2.62558,280.856,737.41102
