From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,291.52,0,50000,2.17208,4.61929,2.75407,291.52,802.86692
0,290.893,0,50000,2.1786,4.33274,2.75425,290.893,801.19187
0,281.854,0,50000,2.17015,4.29701,2.75501,281.854,776.51185
0,282.026,0,50000,2.17166,4.34122,2.75492,282.026,776.96013
0,290.961,0,50000,2.17207,4.16131,2.75386,290.961,801.26496
0,291.107,0,50000,2.17974,4.33948,2.75279,291.107,801.356
0,290.649,0,50000,2.17037,4.27331,2.7542,290.649,800.50601
0,291.578,0,50000,2.17104,4.09337,2.75203,291.578,802.43225
0,283.378,0,50000,2.17013,4.12191,2.75075,283.378,779.50155
0,291.447,0,50000,2.17058,4.08005,2.75163,291.447,801.95377
