From,To,Offset,Sample rate,Min,Max,Average,Duration,Energy consumption
0,363.549,0,10000,1.62275,4.20861,2.42329,363.549,880.98394
0,370.114,0,10000,1.86672,3.84785,2.40559,370.114,890.34134
0,377.979,0,10000,1.63257,4.01343,2.41534,377.979,912.94861
0,365.631,0,10000,1.62235,4.05938,2.41493,365.631,882.97475
0,366.588,0,10000,1.86609,3.8866,2.41003,366.588,883.48968
0,366.025,0,10000,1.6325,3.80419,2.42259,366.025,886.72843
0,361.328,0,10000,1.63285,3.73788,2.42359,361.328,875.71054
0,374.68,0,10000,1.62238,4.02547,2.42185,374.68,907.41779
0,370.6,0,10000,1.63238,3.96092,2.40438,370.6,891.06203
0,374.012,0,10000,1.86735,3.86149,2.41756,374.012,904.19764
