,3.9|Alpine,3.9|FreeBSD,3.9|Manjaro,3.9|Ubuntu,3.10|Alpine,3.10|FreeBSD,3.10|Manjaro,3.10|Ubuntu,3.11|Alpine,3.11|FreeBSD,3.11|Manjaro,3.11|Ubuntu,3.12|Alpine,3.12|FreeBSD,3.12|Manjaro,3.12|Ubuntu,3.13|Alpine,3.13|FreeBSD,3.13|Manjaro,3.13|Ubuntu
duration|RPi3B+|q0,1266.757,1355.913,1146.978,1283.81,1247.077,1374.077,1124.967,1263.638,993.778,1031.135,876.027,1006.077,975.692,1037.714,882.765,972.961,1126.009,1024.547,883.608,985.377
duration|RPi3B+|q1,1267.318,1366.239,1147.2337499999999,1284.48925,1247.97,1377.68375,1125.1932499999998,1264.11725,993.9499999999999,1035.56825,876.59725,1007.8454999999999,976.224,1041.69375,882.94575,973.26875,1126.4009999999998,1028.6705000000002,883.843,985.71025
duration|RPi3B+|q2,1267.6954999999998,1367.408,1147.2984999999999,1284.7125,1248.1799999999998,1380.7525,1125.5639999999999,1264.327,994.0345,1038.5729999999999,876.798,1008.7460000000001,976.3325,1044.627,883.5405000000001,973.4935,1126.8075,1031.0095000000001,884.0060000000001,986.4784999999999
duration|RPi3B+|q3,1268.0919999999999,1369.9187499999998,1147.98825,1285.157,1248.71175,1386.6937500000001,1125.79675,1264.6695,994.3305,1040.05925,876.8905,1010.18175,977.0705,1046.3832499999999,883.704,973.8055,1126.8355000000001,1033.4254999999998,884.12925,987.0345
duration|RPi3B+|q4,1268.393,1372.248,1148.303,1287.579,1249.579,1388.549,1134.46,1264.987,994.569,1044.119,877.15,1072.433,980.589,1054.378,883.805,975.278,1127.125,1054.322,885.069,989.856
duration|RPi3B+|μ,1267.6619,1366.896,1147.5484,1285.0878,1248.3021999999999,1381.6469999999997,1126.3607,1264.3429999999998,994.1135999999999,1037.8096,876.7083,1015.1983,976.8372999999999,1044.9703999999997,883.3677,973.664,1126.6552,1032.9596000000001,884.0699000000001,986.6244
duration|RPi3B+|σ,0.5217084008864713,5.035673738438587,0.4727341747748175,1.119715122500151,0.7042338311164031,5.235479432572445,2.868954128055891,0.4303523104517216,0.2695474396506633,4.177199120090988,0.3143731151920415,20.218472318649592,1.4122899489835823,5.098657409336084,0.4183244487768462,0.6716776674037214,0.3662603202945083,8.223707101355705,0.41339904047623216,1.3114134190085025
draw|RPi3B+|q0,2.33236232069268,2.743195688529389,2.5341921949722708,2.4126139497009866,2.3345584165173348,2.7447476592234556,2.5006804656467394,2.4142695534638876,2.329941737490667,2.7861908718231123,2.5031291927265427,2.4109055569305333,2.330368008383084,2.7830456819091447,2.4984842791015853,2.4972140661431923,2.361329124986137,2.7855210597615128,2.3826288650463603,2.5532866589230734
draw|RPi3B+|q1,2.3325746763893416,2.7442808556142455,2.5352927801675875,2.412850732269556,2.3352078817895903,2.7867714236527212,2.510471376562209,2.4146584162191105,2.3305141129789533,2.787883565910307,2.505133831937613,2.488953072111484,2.3312180462986167,2.784938364900565,2.4990946837292394,2.5029687441713024,2.3635252426355984,2.78772077158317,2.385051269059973,2.5539008980695073
draw|RPi3B+|q2,2.3327463485154665,2.7452879309620757,2.5360166652002,2.41336242784896,2.3354390067141786,2.788718255774582,2.5114364031420164,2.4146950883830796,2.3307014192411093,2.791356996224839,2.5061508118745337,2.4938857167228186,2.350135211638476,2.7855572212688005,2.499621628387552,2.5034914537311215,2.364310931782555,2.7891549624181415,2.386156326636603,2.5577037507394227
